k,ef_rank,ef_select,ss_rank,ss_select,memory_Mib
6,39.146,119.427,110.298,68.598,500.1407
7,42.100,109.253,99.386,62.461,378.0704
8,43.561,107.370,96.199,60.687,317.0352
9,46.052,108.068,96.129,64.768,286.5176
10,49.762,117.774,100.609,68.931,271.2589
11,56.278,130.712,113.500,85.264,263.6294
12,75.804,156.731,141.249,114.599,259.8145
13,99.828,197.572,203.230,177.869,257.9073
14,99.919,283.507,327.555,300.258,256.9537
15,99.891,447.729,585.683,552.654,256.4766
16,100.201,787.111,1115.095,1050.469,256.2384